query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_TRAINING_0217	NIL0090	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0218	NIL0091	PER	DF	N	Y	Y
EDL14_ENG_TRAINING_0219	E0166846	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0220	NIL0092	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0221	E0141366	PER	NW	N	N	N
EDL14_ENG_TRAINING_0222	E0784459	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0223	E0141366	PER	NW	N	N	N
EDL14_ENG_TRAINING_0224	NIL0093	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0225	NIL0094	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0226	NIL0022	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0227	E0438229	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0228	NIL0095	PER	WB	N	N	N
EDL14_ENG_TRAINING_0229	E0292563	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0230	NIL0096	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0231	E0270937	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0232	E0333871	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0233	NIL0028	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0234	NIL0097	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0235	NIL0040	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0236	NIL0098	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0237	E0149263	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0238	E0134888	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0239	E0637986	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0240	E0373950	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0241	E0578237	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0242	NIL0099	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0243	NIL0100	ORG	DF	Y	Y	N
EDL14_ENG_TRAINING_0244	E0273299	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0245	E0596839	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0246	NIL0101	PER	DF	N	N	N
EDL14_ENG_TRAINING_0247	NIL0102	PER	NW	N	N	N
EDL14_ENG_TRAINING_0248	NIL0103	ORG	WB	Y	Y	Y
EDL14_ENG_TRAINING_0249	NIL0104	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0250	E0680525	PER	DF	N	N	N
EDL14_ENG_TRAINING_0251	E0593713	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0252	NIL0039	PER	WB	N	N	Y
EDL14_ENG_TRAINING_0253	E0619582	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0254	NIL0105	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0255	E0023115	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0256	E0047631	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0257	E0811943	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0258	E0264831	PER	NW	N	N	N
EDL14_ENG_TRAINING_0259	E0404325	ORG	WB	N	Y	N
EDL14_ENG_TRAINING_0260	NIL0106	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0261	E0530900	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0262	E0743544	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0263	NIL0107	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0264	NIL0036	PER	WB	Y	N	N
EDL14_ENG_TRAINING_0265	E0315026	PER	NW	N	N	N
EDL14_ENG_TRAINING_0266	NIL0093	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0267	E0348022	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0268	NIL0108	PER	NW	N	N	N
EDL14_ENG_TRAINING_0269	E0271243	ORG	NW	Y	N	N
EDL14_ENG_TRAINING_0270	NIL0109	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0271	E0149263	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0272	E0779655	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0273	E0438229	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0274	NIL0110	PER	NW	N	N	N
EDL14_ENG_TRAINING_0275	NIL0111	GPE	DF	N	Y	N
EDL14_ENG_TRAINING_0276	E0349508	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0277	E0036671	ORG	DF	N	N	N
EDL14_ENG_TRAINING_0278	E0819850	PER	WB	N	N	N
EDL14_ENG_TRAINING_0279	NIL0112	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0280	E0098796	PER	DF	N	N	N
EDL14_ENG_TRAINING_0281	NIL0113	PER	NW	Y	N	N
EDL14_ENG_TRAINING_0282	E0428472	PER	NW	N	N	N
EDL14_ENG_TRAINING_0283	E0305657	PER	DF	N	N	N
EDL14_ENG_TRAINING_0284	E0211468	PER	NW	N	N	N
EDL14_ENG_TRAINING_0285	NIL0114	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0286	NIL0008	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0287	E0481877	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0288	E0769300	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0289	E0401466	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0290	E0793898	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0291	NIL0115	PER	NW	Y	N	N
EDL14_ENG_TRAINING_0292	E0014920	PER	WB	N	N	N
EDL14_ENG_TRAINING_0293	NIL0116	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0294	E0166808	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0295	NIL0117	ORG	WB	Y	Y	Y
EDL14_ENG_TRAINING_0296	NIL0118	PER	DF	N	N	N
EDL14_ENG_TRAINING_0297	E0314883	PER	DF	N	N	N
EDL14_ENG_TRAINING_0298	E0275244	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0299	NIL0119	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0300	E0739132	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0301	NIL0120	ORG	DF	Y	Y	N
EDL14_ENG_TRAINING_0302	NIL0121	ORG	WB	Y	Y	N
EDL14_ENG_TRAINING_0303	NIL0122	PER	NW	Y	N	N
EDL14_ENG_TRAINING_0304	NIL0092	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0305	NIL0123	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0306	E0669532	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0307	E0126705	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0308	E0175585	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0309	NIL0124	GPE	NW	Y	Y	N
EDL14_ENG_TRAINING_0310	E0145816	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0311	NIL0125	PER	WB	Y	N	N
EDL14_ENG_TRAINING_0312	NIL0126	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0313	NIL0127	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0314	NIL0128	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0315	E0785160	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0316	E0088207	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0317	NIL0030	PER	NW	N	N	N
EDL14_ENG_TRAINING_0318	E0786552	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0319	NIL0129	ORG	WB	Y	Y	N
EDL14_ENG_TRAINING_0320	NIL0130	PER	NW	Y	Y	N
EDL14_ENG_TRAINING_0321	NIL0131	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0322	NIL0132	PER	WB	N	N	Y
EDL14_ENG_TRAINING_0323	NIL0133	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0324	E0201977	PER	DF	N	N	N
EDL14_ENG_TRAINING_0325	NIL0134	PER	DF	N	N	N
EDL14_ENG_TRAINING_0326	E0795301	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0327	E0397283	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0328	E0573887	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0329	NIL0135	PER	WB	N	N	N
EDL14_ENG_TRAINING_0330	NIL0098	PER	DF	Y	Y	N
EDL14_ENG_TRAINING_0331	E0228303	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0332	E0679687	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0333	E0777095	ORG	DF	Y	Y	N
EDL14_ENG_TRAINING_0334	E0625376	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0335	E0605604	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0336	E0314883	PER	DF	N	N	N
EDL14_ENG_TRAINING_0337	E0566375	PER	NW	N	N	N
EDL14_ENG_TRAINING_0338	E0277375	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0339	NIL0136	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0340	E0145816	GPE	WB	N	N	N
EDL14_ENG_TRAINING_0341	E0371991	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0342	E0057790	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0343	E0533047	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0344	E0796836	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0345	E0528308	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0346	NIL0137	PER	WB	N	N	N
EDL14_ENG_TRAINING_0347	NIL0138	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0348	E0397283	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0349	NIL0139	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0350	E0506233	PER	DF	N	N	N
EDL14_ENG_TRAINING_0351	E0141366	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0352	NIL0140	ORG	NW	Y	N	Y
EDL14_ENG_TRAINING_0353	E0528308	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0354	NIL0141	ORG	NW	Y	Y	N
EDL14_ENG_TRAINING_0355	E0401466	GPE	NW	N	Y	N
EDL14_ENG_TRAINING_0356	NIL0142	PER	NW	N	N	N
EDL14_ENG_TRAINING_0357	E0395396	ORG	WB	N	N	N
EDL14_ENG_TRAINING_0358	NIL0143	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0359	E0805223	PER	WB	N	N	N
EDL14_ENG_TRAINING_0360	E0119967	PER	DF	N	N	N
EDL14_ENG_TRAINING_0361	E0663909	PER	NW	N	Y	N
EDL14_ENG_TRAINING_0362	E0296165	PER	WB	N	N	N
EDL14_ENG_TRAINING_0363	E0471856	GPE	DF	N	N	N
EDL14_ENG_TRAINING_0364	E0784459	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0365	E0507474	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0366	NIL0061	ORG	DF	N	Y	N
EDL14_ENG_TRAINING_0367	NIL0144	PER	WB	N	Y	N
EDL14_ENG_TRAINING_0368	NIL0145	GPE	WB	N	Y	N
EDL14_ENG_TRAINING_0369	E0718625	PER	DF	Y	N	N
EDL14_ENG_TRAINING_0370	E0541963	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0371	E0124796	ORG	NW	N	Y	N
EDL14_ENG_TRAINING_0372	NIL0045	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0373	E0543242	PER	DF	N	Y	N
EDL14_ENG_TRAINING_0374	E0088207	ORG	NW	N	N	N
EDL14_ENG_TRAINING_0375	E0745362	PER	NW	N	N	N
EDL14_ENG_TRAINING_0376	NIL0146	GPE	DF	N	Y	N
EDL14_ENG_TRAINING_0377	E0441696	GPE	WB	Y	Y	N
EDL14_ENG_TRAINING_0378	E0756436	GPE	NW	N	N	N
EDL14_ENG_TRAINING_0379	NIL0054	PER	DF	N	N	Y
EDL14_ENG_TRAINING_0380	E0500782	PER	DF	N	N	N
